n,p,reinicio,fuente_elegida,convergencia_scipy,iteraciones,evaluaciones,esperanza,razon_esperada,probabilidad_optimo,bitstring_mas_probable,costo_bitstring_mas_probable,probabilidad_mas_alta,norma,gamma_escalado_1,gamma_fisico_1,beta_1,gamma_escalado_2,gamma_fisico_2,beta_2,gamma_escalado_3,gamma_fisico_3,beta_3
8,2,7,optimizado,True,24,155,36.09238531050085,0.8549043903669657,0.07680697959434885,11010010,42.218037146668195,0.03840348979717442,0.9999999999999991,2.923501943878231,0.06924769935725746,0.5291866525161367,6.068939982632028,0.14375230097402888,1.8019489504534667,,,
8,2,8,optimizado,True,19,130,34.26318835186905,0.8115770098869269,0.04687826442559692,11010010,42.218037146668195,0.02343913221279846,1.0000000000000004,4.030543793346354,0.09546971071196031,0.39269908370914663,1.6168626437562517,0.03829791134268419,3.141592653589793,,,
8,2,9,optimizado,True,11,70,34.263188351869005,0.8115770098869259,0.04687826414444628,11010010,42.218037146668195,0.02343913207222314,1.0000000000000002,0.5726185789136776,0.013563363377276396,3.141592653589793,3.4579252676789456,0.08190634859590477,0.3926990732328935,,,
8,2,10,optimizado,True,26,145,36.09238531050025,0.8549043903669514,0.07680697527810047,11010010,42.218037146668195,0.038403487639050236,1.0000000000000004,2.92350129428329,0.06924768397058899,0.5291866669374542,6.068939037320254,0.1437522785828464,1.8019489839793175,,,
8,3,1,optimizado,True,1,56,36.09238531050093,0.8549043903669675,0.0768069797803688,11010010,42.218037146668195,0.0384034898901844,1.0000000000000013,2.923501944050613,0.06924769936134059,0.5291866521713724,6.06893998280441,0.143752300978112,1.801948951660142,0.0,0.0,6.895286615861248e-10
8,3,2,optimizado,True,57,525,37.761952520493146,0.8944506914927012,0.15349081754305793,11010010,42.218037146668195,0.07674540877152897,1.0000000000000013,3.2751030210281926,0.07757591878435648,0.5878051720313539,5.73438178115876,0.13582776861596502,1.9861912124852932,6.283185307179586,0.14882703535347191,0.25980229043961867
8,3,3,optimizado,True,45,434,37.76195252049564,0.8944506914927602,0.1534909101972567,11010010,42.218037146668195,0.07674545509862835,1.0000000000000002,3.275105813015402,0.0775759849169244,0.5878052082137515,5.734384913772567,0.13582784281680474,1.9861913542906977,6.283185307179586,0.14882703535347191,0.2598025009082105
8,3,4,optimizado,True,48,427,37.76195252048237,0.8944506914924458,0.153490785964876,11010010,42.218037146668195,0.076745392982438,1.0000000000000009,3.2750999387720263,0.07757584577631596,0.5878051135288583,5.734380061847523,0.1358277278913991,1.9861913004779028,6.283185307179586,0.14882703535347191,0.2598024375458023
8,3,5,optimizado,True,15,147,34.263188351869005,0.8115770098869259,0.04687826468069154,11010010,42.218037146668195,0.02343913234034577,0.9999999999999991,0.0,0.0,3.0283435501937546,4.0305437504868475,0.09546970969676612,1.9634954198288894,2.4721282121730184,0.05855620912707759,3.141592653589793
8,3,6,optimizado,True,29,224,37.76195252049534,0.8944506914927531,0.15349086751246693,11010010,42.218037146668195,0.07674543375623347,1.0000000000000004,3.2751044241669036,0.07757595201988342,0.587805132793441,5.734384294503483,0.13582782814845146,1.9861911464758566,6.283185307179586,0.14882703535347191,0.2598022604410977
