n,p,bitstring,frecuencia,probabilidad,costo,es_optimo
12,2,100100101100,1,0.001953125,81.63839546599999,False
12,2,010111010100,1,0.001953125,81.56195254800001,False
12,2,101000101011,1,0.001953125,81.56195254800001,False
12,2,111001101111,1,0.001953125,81.514069781,False
12,2,111011000010,1,0.001953125,81.47686493100001,False
12,2,011010110010,2,0.00390625,81.32291916000001,False
12,2,100101001101,1,0.001953125,81.32291916000001,False
12,2,010010110111,2,0.00390625,81.29721519800002,False
12,2,001111010001,1,0.001953125,81.191654588,False
12,2,110000101110,1,0.001953125,81.191654588,False
12,2,100000001011,1,0.001953125,80.92406104900002,False
12,2,011111110100,1,0.001953125,80.92406104900002,False
12,2,001100111101,1,0.001953125,80.797318347,False
12,2,111100001001,1,0.001953125,80.691255343,False
12,2,000011110110,1,0.001953125,80.691255343,False
12,2,000010110011,1,0.001953125,80.647507611,False
12,2,100101001000,1,0.001953125,80.61766861400001,False
12,2,011010110111,1,0.001953125,80.61766861400001,False
12,2,011011110011,3,0.005859375,80.320957383,False
12,2,110000001111,1,0.001953125,80.27435346200001,False
12,2,111011100010,1,0.001953125,80.15942684800002,False
12,2,000011100111,1,0.001953125,80.05511947400002,False
12,2,111100011000,1,0.001953125,80.05511947400002,False
12,2,011010010110,1,0.001953125,79.700367488,False
12,2,100101101001,1,0.001953125,79.700367488,False
12,2,010100011001,2,0.00390625,79.509719261,False
12,2,001100011101,1,0.001953125,79.47988026400002,False
12,2,110011100010,1,0.001953125,79.47988026400002,False
12,2,010011010111,1,0.001953125,79.377952295,False
12,2,110100011000,1,0.001953125,79.37557289000002,False
12,2,001011100111,1,0.001953125,79.37557289000002,False
12,2,000011010110,1,0.001953125,79.37381726000001,False
12,2,000010010011,1,0.001953125,79.33006952800001,False
12,2,101101101001,1,0.001953125,79.020820904,False
12,2,011100011001,1,0.001953125,78.83017267700002,False
12,2,100011100110,1,0.001953125,78.83017267700002,False
12,2,000011000111,1,0.001953125,78.73768139100001,False
12,2,100100101000,1,0.001953125,78.69840571099999,False
12,2,011011010111,1,0.001953125,78.69840571099999,False
12,2,001010010011,2,0.00390625,78.650522944,False
12,2,110101101100,1,0.001953125,78.650522944,False
12,2,001100111100,1,0.001953125,78.562579138,False
12,2,100101001001,1,0.001953125,78.38292940500001,False
12,2,110101001010,1,0.001953125,78.22205112900001,False
12,2,010100111001,1,0.001953125,78.19228117800002,False
12,2,101100111100,2,0.00390625,78.08797380400001,False
12,2,100100001101,1,0.001953125,78.08621817400001,False
12,2,101100001000,2,0.00390625,78.06051421200002,False
12,2,110100111000,3,0.005859375,78.058134807,False
12,2,001011000111,2,0.00390625,78.058134807,False
12,2,111011000011,1,0.001953125,77.88303255400001,False
12,2,101101001001,2,0.00390625,77.703382821,False
12,2,001101111101,1,0.001953125,77.560617361,False
12,2,110010000010,1,0.001953125,77.560617361,False
12,2,011100111001,1,0.001953125,77.51273459400001,False
12,2,011011000011,2,0.00390625,77.40842722000001,False
12,2,101100001101,1,0.001953125,77.40667159,False
12,2,001100011100,1,0.001953125,77.24514105500002,False
12,2,110011100011,1,0.001953125,77.24514105500002,False
12,2,001011100110,1,0.001953125,77.14083368100002,False
12,2,111101001101,1,0.001953125,77.05367523400001,False
12,2,000101011101,4,0.0078125,76.92272586200002,False
12,2,111010100010,1,0.001953125,76.92272586200002,False
12,2,000010100111,1,0.001953125,76.81841848800002,False
12,2,101011100010,1,0.001953125,76.569729506,False
12,2,111011100011,2,0.00390625,76.56559447100001,False
12,2,100100101001,1,0.001953125,76.463666502,False
12,2,111100011001,2,0.00390625,76.46128709700001,False
12,2,001010010010,1,0.001953125,76.415783735,False
12,2,110101101101,1,0.001953125,76.415783735,False
12,2,110010100010,2,0.00390625,76.24317927800001,False
12,2,100100011100,1,0.001953125,76.09098913700001,False
12,2,101011100111,2,0.00390625,75.91588688400002,False
12,2,010100011000,1,0.001953125,75.91588688400002,False
12,2,100011100010,2,0.00390625,75.89018292200002,False
12,2,011100011101,1,0.001953125,75.89018292200002,False
12,2,110100111001,1,0.001953125,75.823395598,False
12,2,111111000000,1,0.001953125,75.699032301,False
12,2,111100001010,1,0.001953125,75.66489672700001,False
12,2,000011110101,1,0.001953125,75.66489672700001,False
12,2,101101001110,1,0.001953125,75.61701396000001,False
12,2,100010100110,3,0.005859375,75.59347169100002,False
12,2,011101011001,1,0.001953125,75.59347169100002,False
12,2,000010000111,2,0.00390625,75.500980405,False
12,2,001011010011,1,0.001953125,75.413821958,False
12,2,001101111100,2,0.00390625,75.325878152,False
12,2,100011000111,2,0.00390625,75.27799538500001,False
12,2,100100111101,2,0.00390625,75.17368801100001,False
12,2,011011000010,1,0.001953125,75.17368801100001,False
12,2,101100111000,1,0.001953125,75.14798404900002,False
12,2,010011000111,1,0.001953125,75.14798404900002,False
12,2,111100111001,1,0.001953125,75.14384901400001,False
12,2,000011000110,1,0.001953125,75.14384901400001,False
12,2,001000111111,3,0.005859375,75.019485717,False
12,2,110111000000,2,0.00390625,75.019485717,False
12,2,110100001010,1,0.001953125,74.985350143,False
12,2,101010000110,2,0.00390625,74.95558019200001,False
12,2,001010000111,1,0.001953125,74.821433821,False
12,2,000100111001,1,0.001953125,74.60258383600002,False
12,2,010100111000,2,0.00390625,74.598448801,False
12,2,011100111101,1,0.001953125,74.57274483900001,False
12,2,010011000010,1,0.001953125,74.494141427,False
12,2,100100111000,2,0.00390625,74.46843746500001,False
12,2,111111100000,2,0.00390625,74.38159421800002,False
12,2,000011010101,1,0.001953125,74.34745864400001,False
12,2,011010010000,1,0.001953125,74.02016625,False
12,2,010010010101,2,0.00390625,73.99446228800001,False
12,2,101101101010,1,0.001953125,73.99446228800001,False
12,2,000010010100,2,0.00390625,73.99032725300002,False
12,2,001100111001,1,0.001953125,73.92303725200001,False
12,2,010011100111,1,0.001953125,73.83054596600002,False
12,2,010000011011,1,0.001953125,73.731886631,False
12,2,110111100000,1,0.001953125,73.70204763400001,False
12,2,001000011111,1,0.001953125,73.70204763400001,False
12,2,100011100011,1,0.001953125,73.65544371300001,False
12,2,011101011000,2,0.00390625,73.35873248200001,False
12,2,100010100111,1,0.001953125,73.35873248200001,False
12,2,101010100010,1,0.001953125,73.33302852,False
12,2,000101011100,1,0.001953125,73.32889348500001,False
12,2,111011100110,1,0.001953125,73.28514575300001,False
12,2,111101011001,1,0.001953125,73.22458611100001,False
12,2,011000011011,1,0.001953125,73.05234004700002,False
12,2,100101011100,1,0.001953125,72.854288151,False
12,2,110111000001,1,0.001953125,72.784746508,False
12,2,100101001111,1,0.001953125,72.702728167,False
12,2,010101011000,2,0.00390625,72.67918589800001,False
12,2,010010110101,1,0.001953125,72.67702420500001,False
12,2,100010100010,1,0.001953125,72.65348193600002,False
12,2,001010000110,1,0.001953125,72.586694612,False
12,2,111110000000,1,0.001953125,72.462331315,False
12,2,001110110111,1,0.001953125,72.444218499,False
12,2,010000111011,2,0.00390625,72.41444854800001,False
12,2,111111000001,1,0.001953125,72.105199924,False
12,2,000000111110,1,0.001953125,72.105199924,False
12,2,111101001110,1,0.001953125,72.02731661800001,False
12,2,101101001111,1,0.001953125,72.02318158300001,False
12,2,010010110000,1,0.001953125,72.02318158300001,False
12,2,101010000010,1,0.001953125,72.01559043700001,False
12,2,100101111101,3,0.005859375,71.93698702500001,False
12,2,010010000111,1,0.001953125,71.91128306300001,False
12,2,000011000011,2,0.00390625,71.86340029600001,False
12,2,111100111100,1,0.001953125,71.86340029600001,False
12,2,111001101000,1,0.001953125,71.80632700000001,False
12,2,011000111011,1,0.001953125,71.734901964,False
12,2,001100111000,1,0.001953125,71.688298043,False
12,2,110100101011,1,0.001953125,71.43317285100001,False
12,2,001111100100,1,0.001953125,71.36300105100001,False
12,2,011101111101,1,0.001953125,71.336043853,False
12,2,100010000010,1,0.001953125,71.336043853,False
12,2,000001011111,1,0.001953125,71.14489323200002,False
12,2,000110100101,1,0.001953125,71.04058585800001,False
12,2,011011100110,2,0.00390625,70.91626017300001,False
12,2,100100011001,1,0.001953125,70.91626017300001,False
12,2,100111100101,1,0.001953125,70.817600838,False
12,2,011000011010,1,0.001953125,70.817600838,False
12,2,010000011111,2,0.00390625,70.791896876,False
12,2,101111100000,1,0.001953125,70.791896876,False
