n,p,repeticion,seed,esperanza_ideal,razon_ideal,probabilidad_optimo_ideal,shots,esperanza_muestral,razon_muestral,shots_optimos,frecuencia_optimo,encontro_optimo,bitstring_mas_frecuente,costo_bitstring_mas_frecuente,frecuencia_mas_alta,bitstring_mejor_observado,costo_mejor_observado
6,3,2,605028,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.31328815257338,0.9219748879007165,203,0.396484375,True,100010,38.30178957666869,0.20703125,100010,38.30178957666869
6,3,3,605029,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.326112545700425,0.9223097128075509,195,0.380859375,True,100010,38.30178957666869,0.19921875,100010,38.30178957666869
6,3,4,605030,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.148170425836994,0.9176639215318964,196,0.3828125,True,100010,38.30178957666869,0.201171875,100010,38.30178957666869
6,3,5,605031,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.394577147600614,0.9240972168029129,210,0.41015625,True,100010,38.30178957666869,0.20703125,100010,38.30178957666869
6,3,6,605032,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.152664760073826,0.9177812615905816,193,0.376953125,True,011101,38.30178957666869,0.19921875,011101,38.30178957666869
6,3,7,605033,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.246520204795765,0.9202316808988179,192,0.375,True,011101,38.30178957666869,0.19921875,011101,38.30178957666869
6,3,8,605034,35.13598452098282,0.9173457665582401,0.3792347701492646,512,34.93760281381374,0.912166329530498,189,0.369140625,True,100010,38.30178957666869,0.189453125,100010,38.30178957666869
6,3,9,605035,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.02905156704085,0.914553913876678,189,0.369140625,True,100010,38.30178957666869,0.1953125,100010,38.30178957666869
6,3,10,605036,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.44790590352662,0.9254895474619648,205,0.400390625,True,100010,38.30178957666869,0.205078125,100010,38.30178957666869
6,3,11,605037,35.13598452098282,0.9173457665582401,0.3792347701492646,512,34.77395758731187,0.9078938078466583,177,0.345703125,True,011101,38.30178957666869,0.1875,011101,38.30178957666869
6,3,12,605038,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.296223182377005,0.9215293481391442,213,0.416015625,True,011101,38.30178957666869,0.2421875,011101,38.30178957666869
