n,reinicio,seed,valor_corte,bitstring,movimientos,runtime_seconds
6,97,62123,38.301789578,011101,2,0.0003777029996854253
6,98,62124,38.301789578,100010,2,0.0005226749999565072
6,99,62125,38.301789578,100010,4,0.0006366160000652599
8,0,82026,36.440204518,10000111,2,0.0004904339998574869
8,1,82027,36.440204518,10000111,4,0.0007284869998329668
8,2,82028,42.218037148,01110010,5,0.0010192800000368152
8,3,82029,42.218037148,01110010,2,0.0005290650001370523
8,4,82030,42.218037148,01110010,4,0.0008535880001545593
8,5,82031,42.218037148,01110010,2,0.0005217739999352489
8,6,82032,42.218037148,10001101,3,0.0007513470000048983
8,7,82033,36.440204518,10000111,1,0.0004571949998535274
8,8,82034,42.218037148,01110010,3,0.0008630979996269161
8,9,82035,42.218037148,01110010,3,0.0006614660001105221
8,10,82036,36.440204518,10000111,3,0.0006623459998991166
8,11,82037,42.218037148,01110010,5,0.000952638999933697
8,12,82038,36.440204518,01111000,2,0.0005761050001638068
8,13,82039,42.218037148,10001101,3,0.0006599960001949512
8,14,82040,42.218037148,10001101,3,0.0006537260001096001
8,15,82041,36.440204518,01111000,2,0.0005120849996274046
8,16,82042,42.218037148,01110010,2,0.0005569149998336798
8,17,82043,42.218037148,01110010,3,0.0006473859998550324
8,18,82044,42.218037148,10001101,2,0.0005641859997922438
8,19,82045,42.218037148,10001101,2,0.0005896949996895273
8,20,82046,42.218037148,10001101,3,0.0006955870003366726
8,21,82047,42.218037148,01110010,3,0.0008033170001908729
8,22,82048,42.218037148,10001101,2,0.0005857460000697756
8,23,82049,36.440204518,10000111,2,0.0005623349998131744
8,24,82050,42.218037148,10001101,4,0.0008534480002708733
8,25,82051,36.440204518,10000111,3,0.0007204760004242416
8,26,82052,42.218037148,01110010,4,0.0007734380001238605
8,27,82053,42.218037148,01110010,3,0.000805717000275763
8,28,82054,42.218037148,01110010,4,0.0010041989999081125
8,29,82055,42.218037148,01110010,4,0.0011320610001348541
8,30,82056,42.218037148,01110010,3,0.0006966060000195284
8,31,82057,42.218037148,10001101,3,0.0006350359999487409
8,32,82058,36.440204518,10000111,2,0.00048702499998398707
8,33,82059,42.218037148,10001101,4,0.0008541679999325424
8,34,82060,42.218037148,10001101,5,0.006152997000299365
8,35,82061,42.218037148,10001101,3,0.0031904500001473934
8,36,82062,42.218037148,01110010,3,0.0018904670000665647
8,37,82063,42.218037148,10001101,3,0.004068718999860721
8,38,82064,42.218037148,01110010,2,0.0020011579999845708
8,39,82065,42.218037148,01110010,3,0.002687946000150987
8,40,82066,42.218037148,01110010,4,0.001757045999966067
8,41,82067,36.440204518,10000111,1,0.0010861700002351427
8,42,82068,42.218037148,10001101,1,0.0013554329998441972
8,43,82069,42.218037148,01110010,3,0.0031666889999542036
8,44,82070,36.440204518,10000111,3,0.0014965039999879082
8,45,82071,36.440204518,10000111,2,0.0006109060000198951
