n,ejecucion,seed,pasos,mejor_valor,mejor_bitstring,valor_final,bitstring_final,movimientos_aceptados,movimientos_peores_aceptados,temperatura_inicial,temperatura_final,runtime_seconds
8,68,8002094,2000,42.218037148,10001101,42.218037148,10001101,440,216,22.259035477999998,0.02218224978080766,0.05110193500013338
8,69,8002095,2000,42.218037148,01110010,42.218037148,01110010,436,215,22.259035477999998,0.02218224978080766,0.05665065799985314
8,70,8002096,2000,42.218037148,10001101,42.218037148,10001101,437,223,22.259035477999998,0.02218224978080766,0.05352298800016797
8,71,8002097,2000,42.218037148,10001101,42.218037148,10001101,447,221,22.259035477999998,0.02218224978080766,0.058875206999800866
8,72,8002098,2000,42.218037148,10001101,42.218037148,01110010,469,226,22.259035477999998,0.02218224978080766,0.05413379400033591
8,73,8002099,2000,42.218037148,01110010,42.218037148,01110010,431,213,22.259035477999998,0.02218224978080766,0.05789302900029725
8,74,8002100,2000,42.218037148,10001101,42.218037148,10001101,477,246,22.259035477999998,0.02218224978080766,0.06021560999988651
8,75,8002101,2000,42.218037148,01110010,42.218037148,10001101,443,220,22.259035477999998,0.02218224978080766,0.05595443000038358
8,76,8002102,2000,42.218037148,10001101,42.218037148,01110010,430,201,22.259035477999998,0.02218224978080766,0.0560046410000723
8,77,8002103,2000,42.218037148,10001101,42.218037148,01110010,436,214,22.259035477999998,0.02218224978080766,0.06518270700007633
8,78,8002104,2000,42.218037148,10001101,42.218037148,10001101,417,213,22.259035477999998,0.02218224978080766,0.055723108000165666
8,79,8002105,2000,42.218037148,10001101,42.218037148,01110010,462,226,22.259035477999998,0.02218224978080766,0.06608949599967673
8,80,8002106,2000,42.218037148,01110010,42.218037148,10001101,455,227,22.259035477999998,0.02218224978080766,0.059133700000074896
8,81,8002107,2000,42.218037148,10001101,42.218037148,01110010,441,219,22.259035477999998,0.02218224978080766,0.05336487600015971
8,82,8002108,2000,42.218037148,01110010,42.218037148,01110010,449,224,22.259035477999998,0.02218224978080766,0.0565394870000091
8,83,8002109,2000,42.218037148,01110010,42.218037148,10001101,449,230,22.259035477999998,0.02218224978080766,0.05269417000044996
8,84,8002110,2000,42.218037148,10001101,42.218037148,10001101,430,211,22.259035477999998,0.02218224978080766,0.060031788000287634
8,85,8002111,2000,42.218037148,01110010,42.218037148,01110010,432,208,22.259035477999998,0.02218224978080766,0.0532842160000655
8,86,8002112,2000,42.218037148,01110010,42.218037148,01110010,440,212,22.259035477999998,0.02218224978080766,0.05096162400013782
8,87,8002113,2000,42.218037148,10001101,42.218037148,01110010,474,237,22.259035477999998,0.02218224978080766,0.05613246300026731
8,88,8002114,2000,42.218037148,10001101,42.218037148,10001101,458,224,22.259035477999998,0.02218224978080766,0.05467390800004068
8,89,8002115,2000,42.218037148,01110010,42.218037148,10001101,480,237,22.259035477999998,0.02218224978080766,0.052160724999794184
8,90,8002116,2000,42.218037148,01110010,42.218037148,01110010,436,215,22.259035477999998,0.02218224978080766,0.05619036400003097
8,91,8002117,2000,42.218037148,10001101,36.440204518,01111000,480,233,22.259035477999998,0.02218224978080766,0.05488585000011881
8,92,8002118,2000,42.218037148,10001101,42.218037148,10001101,417,214,22.259035477999998,0.02218224978080766,0.05228233700017881
8,93,8002119,2000,42.218037148,10001101,42.218037148,10001101,439,216,22.259035477999998,0.02218224978080766,0.049557011000160855
