job_id,hugr_id,grafo,n,p,shots_configurados,registro,bitstring,frecuencia,probabilidad,costo
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,110100,9,0.017578125,7.7449783
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,000111,7,0.013671875,8.692118423
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,001011,7,0.013671875,7.7449783
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,001010,4,0.0078125,16.365169293
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,110001,4,0.0078125,19.279455086
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,001101,3,0.005859375,25.057287716
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,110101,3,0.005859375,16.365169293
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,111000,3,0.005859375,8.692118423
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,000011,2,0.00390625,5.77783263
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,000110,2,0.00390625,17.312309416
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,001001,2,0.00390625,22.143001923
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,111100,2,0.00390625,5.77783263
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,000010,1,0.001953125,14.398023623
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,001100,1,0.001953125,4.881431463
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,010110,1,0.001953125,36.334643908000004
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,101010,1,0.001953125,30.556811278
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,110110,1,0.001953125,22.143001923
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,111101,1,0.001953125,14.398023623
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,11010010,43,0.083984375,20.281416863
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01101101,40,0.078125,36.067050369
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10010010,34,0.06640625,36.067050369
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00101101,30,0.05859375,20.281416863
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,11010110,26,0.05078125,5.88339324
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01101001,20,0.0390625,21.669026746
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10110000,19,0.037109375,13.924048446
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,11110000,19,0.037109375,9.694080199999998
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01101100,13,0.025390625,39.303751355
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10010011,13,0.025390625,39.303751355
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10010110,13,0.025390625,21.669026746
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00101001,12,0.0234375,5.88339324
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10010111,12,0.0234375,24.905727732
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01001111,11,0.021484375,13.924048446
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01111101,11,0.021484375,38.301789578
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,11000010,11,0.021484375,22.516156071999998
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10000010,10,0.01953125,38.301789578
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00001111,9,0.017578125,9.694080199999998
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10000110,8,0.015625,23.903765955
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,11010111,8,0.015625,2.646692254
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00101000,7,0.013671875,2.646692254
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00101100,7,0.013671875,17.044715877
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00111101,7,0.013671875,22.516156071999998
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01001011,7,0.013671875,28.322072069
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,11010011,7,0.013671875,17.044715877
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00111100,6,0.01171875,19.279455086
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01011111,6,0.01171875,16.158787655
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00001011,5,0.009765625,24.092103823
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01111000,5,0.009765625,27.140466941
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01111001,5,0.009765625,23.903765955
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,11110100,5,0.009765625,24.092103823
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00111001,4,0.0078125,8.118132449
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01101000,4,0.0078125,24.905727732
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10100000,4,0.0078125,16.158787655
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10110100,4,0.0078125,28.322072069
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,11000110,4,0.0078125,8.118132449
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00010111,3,0.005859375,12.608365993
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00111000,3,0.005859375,4.881431463
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10000011,3,0.005859375,41.538490564
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10101000,3,0.005859375,16.838334239
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,11000111,3,0.005859375,4.881431463
